Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.106-10.42.0.151-443-40915-6,10.42.0.151,40915,172.217.3.106,443,6,23/08/2017 12:02:34,37553,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.25806193912603,37553.0,0.0,37553.0,37553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.629030969563015,26.629030969563015,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,179,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-31.13.80.5-56997-443-6,10.42.0.151,56997,31.13.80.5,443,6,23/08/2017 12:02:37,222014,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,5769.906402298954,58.55486590935707,18501.166666666668,33337.30876642383,116946.0,16.0,81800.0,16360.0,24484.451750039247,55601.0,53.0,198815.0,33135.833333333336,46598.12273650803,116946.0,16.0,0,0,0,0,200,232,27.025322727395572,31.5295431819615,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.3.106-10.42.0.151-443-57436-6,10.42.0.151,57436,172.217.3.106,443,6,23/08/2017 12:02:38,116,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,267241.3793103448,17241.379310344826,116.0,0.0,116.0,116.0,116.0,116.0,0.0,116.0,116.0,0,0,0,0,0,1,0,0,0,64,0,17241.379310344826,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1945,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.35-10.42.0.151-443-35237-6,10.42.0.151,35237,157.240.2.35,443,6,23/08/2017 12:02:54,109324,8,5,322.0,3488.0,204.0,0.0,40.25,77.99221572878741,1398.0,0.0,697.6,699.007009979156,34850.536021367676,118.9125900991548,9110.333333333334,13628.39687319581,35189.0,25.0,109324.0,15617.714285714284,17038.51415386414,38600.0,72.0,39144.0,9786.0,18651.650186154216,37755.0,25.0,0,0,0,0,264,168,73.1769785225568,45.735611576598004,0.0,1398.0,272.1428571428571,511.88548255713135,262026.74725274724,0,0,0,1,0,0,0,0,0.0,293.0769230769231,40.25,697.6,264,0,0,0,0,0,0,8,322,5,3488,65535,114,2,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.35-10.42.0.151-443-35237-6,157.240.2.35,443,10.42.0.151,35237,6,23/08/2017 12:02:54,20069,5,2,384.0,0.0,250.0,0.0,76.8,100.3877482564481,0.0,0.0,0.0,0.0,19133.987742289104,348.7966515521451,3344.8333333333335,4765.5255918593775,11565.0,14.0,20069.0,5017.25,9972.507320127672,19976.0,14.0,6609.0,6609.0,0.0,6609.0,6609.0,1,0,0,0,160,40,249.14046539438937,99.65618615775574,0.0,250.0,79.25,108.27049459571153,11722.499999999998,0,1,0,0,1,0,0,0,0.0,90.57142857142857,76.8,0.0,160,0,0,0,0,0,0,5,384,2,0,114,0,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.206-10.42.0.151-443-59756-6,10.42.0.151,59756,172.217.12.206,443,6,23/08/2017 12:03:02,36759,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.6971081911913,54.40844419053837,36759.0,0.0,36759.0,36759.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.204222095269184,27.204222095269184,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1411,249,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.3.106-10.42.0.151-443-53986-6,10.42.0.151,53986,172.217.3.106,443,6,23/08/2017 12:03:03,36613,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.6937972851173,81.93810941468877,18306.5,25842.631532024752,36580.0,33.0,0,0,0,0,0,33.0,33.0,0.0,33.0,33.0,1,0,0,0,32,64,27.31270313822959,54.62540627645918,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1635,234,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.206-10.42.0.151-443-34866-6,10.42.0.151,34866,172.217.12.206,443,6,23/08/2017 12:03:04,136,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,227941.17647058822,14705.882352941177,136.0,0.0,136.0,136.0,136.0,136.0,0.0,136.0,136.0,0,0,0,0,0,1,0,0,0,64,0,14705.882352941177,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1406,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.206-10.42.0.151-443-34866-6,172.217.12.206,443,10.42.0.151,34866,6,23/08/2017 12:03:04,376,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5319.148936170213,376.0,0.0,376.0,376.0,376.0,376.0,0.0,376.0,376.0,0,0,0,0,0,0,0,0,0,64,0,5319.148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.3.106-10.42.0.151-443-51380-6,10.42.0.151,51380,172.217.3.106,443,6,23/08/2017 12:03:10,61,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,377049.18032786885,32786.88524590164,61.0,0.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,0,0,0,0,0,1,0,0,0,64,0,32786.88524590164,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
